ID	POP	EUR	EAS	AMR	SAS	AFR	tissue
TCGA-06-0213	EUR	0.994181	0.005789	1e-05	1e-05	1e-05	Blood Derived Normal
TCGA-06-0214	EUR	0.997525	1e-05	0.001158	1e-05	0.001297	Blood Derived Normal
TCGA-06-0216	EUR	0.986118	0.008964	1e-05	0.003895	0.001013	Blood Derived Normal
TCGA-06-0216	EUR	0.979288	0.009697	1e-05	0.010437	0.000568	Blood Derived Normal
TCGA-06-0219	EUR	0.998084	0.00188	1.6e-05	1e-05	1e-05	Blood Derived Normal
TCGA-06-0221	EUR	0.938448	1e-05	0.006727	0.041634	0.013182	Blood Derived Normal
TCGA-06-0237	EUR	0.992011	1e-05	1e-05	0.005783	0.002186	Blood Derived Normal
TCGA-06-0238	AFR	1e-05	0.004362	1e-05	1e-05	0.995608	Blood Derived Normal
TCGA-06-0240	EUR	0.998089	4.3e-05	1e-05	1e-05	0.001848	Blood Derived Normal
TCGA-06-0241	EUR	0.996504	1e-05	0.003407	6.9e-05	1e-05	Blood Derived Normal
TCGA-06-0644	EUR	0.989442	1e-05	0.007169	0.003369	1e-05	Blood Derived Normal
TCGA-06-0645	EUR	0.989484	1e-05	1e-05	1e-05	0.010486	Blood Derived Normal
TCGA-06-0646	EUR	0.992326	1e-05	1e-05	0.007644	1e-05	Blood Derived Normal
TCGA-06-0648	EUR	0.99996	1e-05	1e-05	1e-05	1e-05	Blood Derived Normal
TCGA-06-0649	EUR	0.986892	0.008708	1e-05	1e-05	0.00438	Blood Derived Normal
TCGA-06-0650	EUR	0.9599	1e-05	0.000378	0.029964	0.009748	Blood Derived Normal
TCGA-06-0686	AMR	1e-05	0.046006	0.953964	1e-05	1e-05	Blood Derived Normal
TCGA-06-0743	EUR	0.993418	1e-05	1e-05	0.006552	1e-05	Blood Derived Normal
TCGA-06-0744	EUR	0.998309	1e-05	0.000932	1e-05	0.000739	Blood Derived Normal
TCGA-06-0745	EUR	0.870887	1e-05	1e-05	0.109534	0.019559	Blood Derived Normal
TCGA-06-0747	EUR	0.995449	0.004319	1e-05	0.000212	1e-05	Blood Derived Normal
TCGA-06-0749	EUR	0.862028	1e-05	1e-05	0.118712	0.01924	Blood Derived Normal
TCGA-06-0750	EUR	0.997366	1e-05	1e-05	0.002233	0.00038	Blood Derived Normal
TCGA-06-0875	EUR	0.997347	0.000609	1e-05	0.002023	1e-05	Blood Derived Normal
TCGA-06-0876	EUR	0.951814	0.006608	1e-05	1e-05	0.041558	Blood Derived Normal
TCGA-06-0877	EUR	0.965876	0.016885	0.001971	0.015259	1e-05	Blood Derived Normal
TCGA-06-0878	EUR	0.992909	0.002211	1e-05	0.003359	0.001511	Blood Derived Normal
TCGA-06-0879	EUR	0.99996	1e-05	1e-05	1e-05	1e-05	Blood Derived Normal
TCGA-06-0881	EUR	0.993353	1e-05	1e-05	0.001703	0.004924	Blood Derived Normal
TCGA-06-0882	EUR	0.98282	0.009201	1e-05	1e-05	0.007959	Blood Derived Normal
TCGA-06-0939	EUR	0.83765	1e-05	1e-05	0.145092	0.017238	Blood Derived Normal
